section,subsection,element,Value,,
Data,Biodiversity data,Data sources,https://doi.org/10.15468/dl.dj8pmv,,
Data,Biodiversity data,Sampling design,GBIF download (mix of multiple samples) plus field sampling,,
Data,Biodiversity data,Sample size,n=65 (GBIF),,
Data,Biodiversity data,Clipping,Madagascar (mainland),,
Data,Biodiversity data,Scaling,Removal of duplicates within same 1km cell,,
Data,Biodiversity data,Cleaning,"Removal of records without spatial location, coordinate cleaner to spot outliers or incorrect lat-lon positions (i.e., the wrong way around)",,
Data,Biodiversity data,Absence data,n/a,,
Data,Biodiversity data,Background data,"Spatial extent: Madagascar mainland, single temporal extent, whole area buffer minus presence locations. Method was tested against target group sampling using ecoregions of presence points and using the whole area performed better.",,
Data,Biodiversity data,Errors and biases,"Sampling bias could be present due to field survey data input, but removal of duplicates goes some way to counteract that. Spatial thinning was applied but did not remove any further occurrence points.",,
Data,Data partitioning,Training data,SDM package: 80:20 partition (80% used for training),,
Data,Data partitioning,Validation data,5-fold cross validation (80:20 partition),,
Data,Data partitioning,Test data,SDM package: 80:20 partition (20% used for test),,
Data,Predictor variables,Predictor variables,"Annual Temperature Range, Precipitation of the Coldest Quarter, Temperature Seasonality, Forest Cover, Precipitation of the Wettest Month, Mean Temperature of the Driest Quarter",,Ann Temp Range
Data,Predictor variables,Data sources,CHELSA v2.1 (bioclimatic variables); Forestatrisk (forest cover),,
Data,Predictor variables,Spatial extent,Madagsacar mainland,,
Data,Predictor variables,Spatial resolution,1km,,
Data,Predictor variables,Coordinate reference system,WGS 1984 Albers for Africa Equal Area Conic coordinate projection system (ESRI:102022),,
Data,Predictor variables,Temporal extent,1980-2010,,
Data,Predictor variables,Temporal resolution,30 years,,
Data,Predictor variables,Data processing,"Projecting from WGS84 to ESRI:102022 (terra::project); cropping to study extent (terra::crop), resampling to exact cell position (terra::resample using method='bilinear')",,
Data,Predictor variables,Errors and biases,"Bias corrected using a trend-preserving bias correction following (Lange 2019) LANGE, S. 2019. Trend-preserving bias adjustment and statistical downscaling with ISIMIP3BASD (v1.0). Geosci. Model Dev., 3055–3070.",,
Data,Predictor variables,Dimension reduction,Downscaling to 1km,,
Data,Transfer data,Data sources,CHELSA v2.1 (bioclimatic variables); Forestatrisk (forest cover),,
Data,Transfer data,Spatial extent,Madagascar (mainland),,
Data,Transfer data,Spatial resolution,1km,,
Data,Transfer data,Temporal extent,2011-2100,,
Data,Transfer data,Temporal resolution,30 years,,
Data,Transfer data,Models and scenarios,"GFDL-ESM4 model with SSP126, SSP370, SSP585 scenarios (CMIP6)",,
Data,Transfer data,Data processing,"Projecting from WGS84 to ESRI:102022 (terra::project); cropping to study extent (terra::crop), resampling to exact cell position (terra::resample using method='bilinear')",,
Data,Transfer data,Quantification of Novelty,MESS analysis,,
Model,Variable pre-selection,Variable pre-selection,N/A,,
Model,Multicollinearity,Multicollinearity,"Correlation matrix assessing for highly collinear pairs above 0.7, then a variable importance factor ranking the remaining predictors to reduce variables down to the correct ratio to occurrence points (i.e., 6 predictors for 62 occurrences)",,
Model,Model settings,Model settings (fitting),sdm R package: created an ‘sdmData’ object that specified how presences and background points were equally weighted; used ‘sdm’ function to compute an ensemble fit using three machine learning algorithms with 10 replicates (bootstrapping),,
Model,Model settings,Model settings (extrapolation),"sdm package: sdm::ensemble() to produce projections and predictions using weighted mean maximising the AUC statistic, and optimised for maximum sum of sensitivity and specificity",,
Model,Model estimates,Coefficients,"Mean: Residual deviance = 0.280, Area Under ROC Curve (AUC) = 0.982, True Skill Statistic (TSS) = 0.933, Point-biserial correlation (COR) = 0.776, Matthews Correlation Coefficient = 0.782, F1 Score = 0.781",,
Model,Model estimates,Parameter uncertainty,"Mean Explained deviance = 0.999, Standard Deviation of AUC (SD_AUC) = 0.016, Standard Deviation of TSS (SD_TSS) = 0.041",,
Model,Model estimates,Variable importance,"Ranked in most important in descending order: Annual Temperature Range, Precipitation of the Coldest Quarter, Temperature Seasonality, Forest Cover, Precipitation of the Wettest Month, Mean Temperature of the Driest Quarter",,
Model,Model selection - model averaging - ensembles,Model selection,Models selected to compute ensemble if their overall scores were AUC > 0.7 & TSS > 0.5,,
Model,Model selection - model averaging - ensembles,Model averaging,"Weighted average ensemble to maximise AUC, optimised using maximum sum of sensitivity and specificity (max(se+sp))",,
Model,Model selection - model averaging - ensembles,Model ensembles,Same as previous,,
Model,Analysis and Correction of non-independence,Spatial autocorrelation,Spatial duplicate removal and spatial thinning of occurrence data (< 1km),,
Model,Analysis and Correction of non-independence,Temporal autocorrelation,N/A,,
Model,Analysis and Correction of non-independence,Nested data,N/A,,
Model,Threshold selection,Threshold selection,sdm package: sdm::threshold() with optimisation method 2 to maximise ensemble performance metrics using max(se+sp) and repeated binary results with 12 (10th Percentile Training Presence - P10) to compare outputs,,
Assessment,Performance statistics,Performance on training data,"Threshold independent: Prevalence, AUC, COR, Deviance, Calibration; Threshold dependent: TSS, MCC, F1 (maximised for max(se+sp)",,
Assessment,Performance statistics,Performance on validation data,N/A,,
Assessment,Performance statistics,Performance on test data,"Threshold independent: Prevalence, AUC, COR, Deviance, Calibration; Threshold dependent: TSS, MCC, F1 (maximised for max(se+sp))",,
Assessment,Plausibility check,Response shapes,"All response curves have wide confidence bands showing uncertainty across most of the responses: Annual temperature range has a strong negative relationship with occurrence probability declining from ~0.5 at lower ranges (~8°C) to ~0.2 above 18°C. Precipitation of coldest quarter exhibits a bimodal pattern with modest peaks at ~150mm and ~800mm. Temperature seasonality has a U-shaped response with higher probabilities at both low (~100) and high (~250+) values, reflecting the species' ecological versatility across both consistent temperature regimes (humid rainforests on elevational gradients) and more variable regions (dry-deciduous forests at lower elevations). Forest cover shows a gradual positive relationship, confirming the species' affinity for forested habitats.",,
Assessment,Plausibility check,Expert judgement,Calophyllum predicted suitability under current climatic conditions match that of recorded observations.,,
Prediction,Prediction output,Prediction unit,"Binary threshold 0-1 (0=absence, 1=presence)",,
Prediction,Prediction output,Post-processing,Threshold selection,,
Prediction,Uncertainty quantification,Algorithmic uncertainty,"Null, residual and explained deviance calculated for each model ID and algorithm per ensemble",,
Prediction,Uncertainty quantification,Input data uncertainty,"Model based uncertainty/inconsistency, coefficient of variation of probabilities generated from multiple models (CV), standard deviation of probabilities from multiple models (SD), confidence interval length 95% or marginal error (CI)",,
Prediction,Uncertainty quantification,Parameter uncertainty,"Sensitivity analysis to assess impact of input parameters (background method, highly collinear threshold value, and prediction threshold value",,
Prediction,Uncertainty quantification,Scenario uncertainty,"Comparison of the two threshold outputs, comparison of SSPs (126, 370, 585)",,
Prediction,Uncertainty quantification,Novel environments,MESS analysis computed: Madagascar is 0.6% novel across all SSPs and time periods compared to reference period environment (1981-2010).,,
