section,subsection,element,Value
Data,Biodiversity data,Sampling design,n/a
Data,Biodiversity data,Sample size,n=34
Data,Biodiversity data,Clipping,African Continent minus Madagascar
Data,Biodiversity data,Scaling,Removal of duplicates within same 1km cell
Data,Biodiversity data,Cleaning,"Removal of records without spatial location, coordinate cleaner to spot outliers or incorrect lat-lon positions (i.e. the wrong way around)"
Data,Biodiversity data,Absence data,N/A
Data,Biodiversity data,Background data,"Spatial extent: African mainland, single temporal extent, 2°far buffer away from presence points. Method was tested against target group sampling using ecoregions of presence points and using the 2°far (pseudoabsence method) performed better (Barbet-Massin et al., 2012, Li et al., 2024)."
Data,Biodiversity data,Errors and biases,"Sampling bias could be present due to GBIF data input, but removal of duplicates goes some way to counteract that. Spatial thinning was not applied due to such small number of occurrences."
Data,Data partitioning,Training data,SDM package: 80:20 partition (80% used for training)
Data,Data partitioning,Validation data,5-fold cross validation (80:20 partition)
Data,Data partitioning,Test data,SDM package: 80:20 partition (20% used for test)
Data,Predictor variables,Predictor variables,"Mean Precipitation of the Driest Month, Precipitation Seasonality, Mean Temperature of the Coldest Quarter, Mean Precipitation of the Coldest Quarter"
Data,Predictor variables,Data sources,CHELSA v2.1 (bioclimatic variables)
Data,Predictor variables,Spatial extent,"43.10, 50.61, -25.62, -11.94"
Data,Predictor variables,Spatial resolution,1km
Data,Predictor variables,Coordinate reference system,WGS 1984 Albers for Africa Equal Area Conic coordinate projection system (ESRI:102022)
Data,Predictor variables,Temporal extent,1980-2010
Data,Predictor variables,Temporal resolution,30 years
Data,Predictor variables,Data processing,"Projecting from WGS84 to ESRI:102022 (terra::project); cropping to study extent (terra::crop), resampling to exact cell position (terra::resample using method='bilinear')"
Data,Predictor variables,Errors and biases,"Bias corrected using a trend-preserving bias correction following (Lange 2019) LANGE, S. 2019. Trend-preserving bias adjustment and statistical downscaling with ISIMIP3BASD (v1.0). Geosci. Model Dev., 3055–3070."
Data,Predictor variables,Dimension reduction,Downscaling to 1km
Data,Transfer data,Data sources,CHELSA v2.1 (bioclimatic variables); Forestatrisk (forest cover)
Data,Transfer data,Spatial extent,"43.10, 50.61, -25.62, -11.94 (xmin, xmax, ymin, ymax)"
Data,Transfer data,Spatial resolution,1km
Data,Transfer data,Temporal extent,2011-2100
Data,Transfer data,Temporal resolution,30 years
Data,Transfer data,Models and scenarios,"GFDL-ESM4 model with SSP126, SSP370, SSP585 scenarios (CMIP6)"
Data,Transfer data,Data processing,"Projecting from WGS84 to ESRI:102022 (terra::project); cropping to study extent (terra::crop), resampling to exact cell position (terra::resample using method='bilinear')"
Data,Transfer data,Quantification of Novelty,MESS analysis
Model,Variable pre-selection,Variable pre-selection,N/A
Model,Multicollinearity,Multicollinearity,"Correlation matrix assessing for highly collinear pairs above 0.7, then a variable importance factor ranking the remaining predictors to reduce variables down to the correct ratio to occurrence points (i.e., 6 predictors for 62 occurrences)"
Model,Model settings,Model settings (fitting),sdm package: created sdm::sdmData() object that specified how presences and background points were equally weighted; used sdm::sdm to compute an ensemble fit using 3 machine  learning algorithms with 10 replicates (bootstrapping)
Model,Model settings,Model settings (extrapolation),"sdm package: sdm::ensemble() to produce projections and predictions using weighted mean based on the Matthews Correlation Coefficient (MCC) of ensemble performance, and optimised using the minimum distance to ROC curve (minROCdist""; opt=4)"
Model,Model estimates,Coefficients,"Mean: Residual deviance = 0.355, Area Under ROC Curve (AUC) = 0.950, True Skill Statistic (TSS) = 0.864, Point-biserial correlation (COR) = 0.643, Matthews Correlation Coefficient = 0.662, F1 Score = 0.657"
Model,Model estimates,Parameter uncertainty,"Mean Explained deviance = 0.998, Standard Deviation of AUC (SD_AUC) = 0.035, Standard Deviation of TSS (SD_TSS) = 0.080"
Model,Model estimates,Variable importance,"Ranked in most important in descending order: Mean Precipitation of the Driest Month, Mean Temperature of the Coldest Quarter, Mean Precipitation of the Coldest Quarter, Precipitation Seasonality"
Model,Model selection - model averaging - ensembles,Model selection,Models selected to compute ensemble if their overall scores were AUC > 0.7 & TSS > 0.5
Model,Model selection - model averaging - ensembles,Model averaging,Weighting chosen to optimise Matthews Correlation Coefficient (MCC) performance
Model,Model selection - model averaging - ensembles,Model ensembles,Same as previous
Model,Analysis and Correction of non-independence,Spatial autocorrelation,Spatial duplicate removal and spatial thinning of occurrence data (< 1km)
Model,Analysis and Correction of non-independence,Temporal autocorrelation,N/A
Model,Analysis and Correction of non-independence,Nested data,N/A
Model,Threshold selection,Threshold selection,sdm package: sdm::threshold() with optimisation method 4 to maximise ensemble performance metrics using minimum distance to ROC curve (minROCdist) and repeated binary results with 12 (10th Percentile Training Presence - P10) to compare outputs
Assessment,Performance statistics,Performance on training data,"Threshold independent: Prevalence, AUC, COR, Deviance, Calibration; Threshold dependent: TSS, MCC, F1 (maximised for max(se+sp)"
Assessment,Performance statistics,Performance on validation data,N/A
Assessment,Performance statistics,Performance on test data,"Threshold independent: Prevalence, AUC, COR, Deviance, Calibration; Threshold dependent: TSS, MCC, F1 (maximised for max(se+sp)"
Assessment,Plausibility check,Response shapes,"All response curves have wide confidence bands showing uncertainty across most of the responses: Precipitation of driest month shows an initial increase in species response up to around response 0.6-0.7 units and 20mm of rainfall, then plateaus and slightly declines after 80mm. Precipitation of coldest quarter has a similar but more gradual pattern to precipitation of the driest month but maintains a stable response. Mean temperature of coldest quarter with a hump-shaped response that peaks around 10-15 degrees Celsius, then notably declines above 20 degrees, suggesting thermal tolerance limits. Precipitation seasonality demonstrates a brief spike in response around 50-70 units followed by a steady decline, suggesting a preference of some variation, but not extreme fluctuation."
Assessment,Plausibility check,Expert judgement,"The wilt when first projected (transferred) to Madagascar shows strong suitability along the north-south humid/sub-humid zone, which also includes the location of Ranomafana National Park where the wilt has been observed."
Prediction,Prediction output,Prediction unit,"Binary threshold 0-1 (0=absence, 1=presence)"
Prediction,Prediction output,Post-processing,Threshold selection
Prediction,Uncertainty quantification,Algorithmic uncertainty,"Null, residual and explained deviance calculated for each model ID and algorithm per ensemble"
Prediction,Uncertainty quantification,Input data uncertainty,"Model based uncertainty/inconsistency, coefficient of variation of probabilities generated from multiple models (CV), standard deviation of probabilities from multiple models (SD), confidence interval length 95% or marginal error (CI)"
Prediction,Uncertainty quantification,Parameter uncertainty,"Sensitivity analysis to assess impact of input parameters (background method, highly collinear threshold value, and prediction threshold value"
Prediction,Uncertainty quantification,Scenario uncertainty,"Comparison of the two threshold outputs, comparison of SSPs (126, 370, 585)"
Prediction,Uncertainty quantification,Novel environments,MESS analysis computed: Africa to Madagascar is ~0% novel across all SSPs and time periods compared to reference period environment (1981-2010).
